id,market,success,active,lastpricesupratio_7,lastpricesdiffperccumul,movingaveragecomp_lower_of_ma7_ma22_in_1h,movingaveragelatestdiffcumul_30m_ma7_last_7,movingaveragelatestdiffcumul_15m_ma7_last_7
942,BCHBTC,0,0,0.83333333333333,0.0792,0.23,-0.0769,-0.2231
943,LTCBTC,0,0,0.83333333333333,0.2688,0.21,0.1124,0.0061
944,ATOMBTC,1,0,1,0.8396,-1.80,-0.3864,-0.4006
945,LINKBTC,0,0,1,0.4078,0.61,-0.2943,-0.5477
946,ALGOBTC,0,0,0.83333333333333,0.7621,0.11,-0.176,0.0787
947,REPBTC,0,0,0.83333333333333,0.5578,1.05,0.1054,-0.7205
948,ONTBTC,1,0,0.83333333333333,2.4709,0.24,-0.00089999999999997,0.6395
949,XLMBTC,0,0,0.83333333333333,0.6822,0.46,-0.6793,-0.1949
950,DASHBTC,0,0,1,0.1043,0.07,-0.0251,0.0444
951,LTOBTC,0,0,0.83333333333333,3.7878,-1.78,1.0773,2.7777
952,COMPBTC,1,0,0.83333333333333,2.2445,-6.09,0.7961,-0.9347
953,ARKBTC,0,0,0.83333333333333,0.6616,1.66,-1.8791,-0.6562
954,ICXBTC,1,0,0.83333333333333,0.26,-3.39,1.2519,-1.1557
955,NASBTC,1,0,0.83333333333333,0.9284,-0.06,-0.2458,0.7724
956,ZECBTC,0,0,0.83333333333333,0.2697,0.19,0.1529,0.3337
957,STEEMBTC,0,0,0.83333333333333,0.2747,0.33,-0.9881,-0.2433
958,OGNBTC,0,0,0.83333333333333,1.1435,2.17,-2.346,-0.6597
959,STORJBTC,0,0,0.83333333333333,0.6191,1.87,-0.4265,-0.554
960,BQXBTC,0,0,0.83333333333333,1.3113,-7.08,0.1108,-1.3569
961,STXBTC,0,0,0.83333333333333,1.0679,1.06,-1.2795,-1.4592
962,BATBTC,0,0,0.83333333333333,0.5515,0.34,-0.2429,0.4066
963,HCBTC,0,0,0.83333333333333,0.8331,0.10,0.1535,0.3422
964,IOTABTC,0,0,0.83333333333333,0.664,0.90,-0.8996,-0.2403
965,NANOBTC,0,0,0.83333333333333,1.1763,-0.39,-0.5458,-0.6703
966,ENJBTC,0,0,0.83333333333333,0.1571,2.18,-1.4145,-0.8488
967,EOSBTC,0,0,0.83333333333333,0.127,0.31,-0.2556,-0.128
968,THETABTC,0,0,0.83333333333333,0.3775,0.66,-0.3471,-0.2638
969,LSKBTC,0,0,0.83333333333333,0.7702,1.00,-1.3418,-1.6565
970,QTUMBTC,1,0,0.83333333333333,0.4394,0.20,-0.0776,-0.0621
971,BNTBTC,0,0,0.83333333333333,0.9798,0.65,0.6467,-1.0719
972,ENGBTC,0,0,0.83333333333333,0.6848,1.86,-0.8704,0.3286
973,XMRBTC,0,0,1,0.4352,-0.03,0.2292,0.3856
974,KNCBTC,1,0,0.83333333333333,1.4468,2.27,-2.1517,-1.6005
975,XTZBTC,0,0,0.83333333333333,0.2315,0.59,-0.6421,-0.211
976,GVTBTC,0,0,0.83333333333333,0.999,2.14,-1.2135,-0.9756
977,MTLBTC,0,0,0.83333333333333,0.3272,0.36,0.0041,-0.1663
978,ONGBTC,0,0,1,0.4842,0.60,-1.5021,-1.2109
979,ZRXBTC,1,0,0.83333333333333,0.6884,0.70,-1.6495,0.4658
980,BEAMBTC,0,0,0.83333333333333,0.9726,0.66,-0.4859,0.2433
981,ETHBTC,0,0,0.83333333333333,0.0946,0.27,0.0304,-0.0137
982,NEOBTC,0,0,0.83333333333333,0.3041,0.44,0.3568,0.5947
983,VIABTC,0,0,0.83333333333333,0.6706,0.86,0.0685,0.7562
984,BNBBTC,0,0,0.83333333333333,0.0365,0.01,0.1874,0.2283
985,ELFBTC,0,0,0.83333333333333,1.2711,0.07,0.8807,1.6983
986,STRATBTC,1,0,1,2.6316,0.22,0.6663,1.4055
987,LENDBTC,1,0,0.83333333333333,1.5904,2.22,-0.1666,0.9793
988,DCRBTC,0,0,0.83333333333333,0.423,0.39,0.3931,0.2149
989,ETCBTC,0,0,0.83333333333333,0.0416,0.14,0.0277,-0.1196
990,ADABTC,1,0,0.83333333333333,0.8509,1.06,0.0943,0.0669
991,OMGBTC,0,0,0.83333333333333,0.0608,0.52,-0.2007,-0.2359
992,ATOMBTC,0,0,0.83333333333333,-0.0767,-1.54,2.1005,2.4405
993,LINKBTC,0,0,1,0.6008,1.01,-0.1459,-0.2036
994,LTCBTC,0,0,0.83333333333333,0.0495,0.03,-0.1775,-0.0905
995,TOMOBTC,0,0,0.83333333333333,0.9103,1.85,-1.5084,-0.7844
996,BLZBTC,0,0,0.83333333333333,2.9675,-7.08,3.1093,2.53
997,WRXBTC,1,0,0.83333333333333,1.1987,0.70,-0.1243,0.3713
998,RENBTC,0,0,0.83333333333333,1.9694,2.25,-1.828,0.4555
999,REPBTC,1,0,1,0.4359,1.88,0.1,-0.7412
1000,LRCBTC,1,0,0.83333333333333,0.9035,1.46,-3.6452,-1.8577
1001,SOLBTC,0,0,1,1.0613,1.49,1.5412,0.9733
1002,ONTBTC,0,0,0.83333333333333,1.9365,-3.47,2.5705,0.6905
1003,BCHBTC,0,0,0.83333333333333,0.1499,0.55,0.0158,0.1614
1004,LTOBTC,1,0,0.83333333333333,2.6992,-2.40,0.8532,2.6384
1005,WTCBTC,1,0,0.83333333333333,0.9252,0.67,0.1137,-0.038
1006,AIONBTC,0,0,0.83333333333333,0.5503,-0.33,-1.6326,-0.1702
1007,ICXBTC,0,0,1,0.7141,-1.96,0.9236,0.5226
1008,KMDBTC,0,0,0.83333333333333,0.3253,0.24,0.6378,0.4663
1009,ASTBTC,0,0,0.83333333333333,9.1965,6.15,-0.4008,1.883
1010,BTGBTC,0,0,0.83333333333333,0.5888,1.00,-0.5704,-0.2625
1011,NULSBTC,1,0,1,1.4058,-3.24,0.1066,-0.7099
1012,RLCBTC,1,0,0.83333333333333,0.0374,1.71,-0.1016,0.2054
1013,COMPBTC,0,0,0.83333333333333,1.1638,-4.72,-0.1165,0.6422
1014,GXSBTC,0,0,0.83333333333333,0.2893,0.31,0.1249,0.1509
1015,KAVABTC,0,0,0.83333333333333,0.3182,0.66,-1.1746,0.2913
1016,BANDBTC,0,0,0.83333333333333,-0.0786,0.57,-0.3595,-0.0047
1017,EOSBTC,0,0,0.83333333333333,0.4522,0.63,-0.6018,-0.8174
1018,KNCBTC,0,0,0.83333333333333,0.5782,1.33,-0.4998,-1.871
1019,QTUMBTC,1,0,0.83333333333333,1.0643,-1.68,2.4306,0.5251
1020,XTZBTC,0,0,0.83333333333333,1.1015,0.46,0.3313,-0.00019999999999998
1021,ZECBTC,0,0,0.83333333333333,0.279,-0.13,-0.0915,-0.1448
1022,BATBTC,0,0,1,0.7759,-0.40,-0.3255,-0.73
1023,BCDBTC,0,0,0.83333333333333,0.5036,0.49,-0.9549,-0.7885
1024,NANOBTC,0,0,0.83333333333333,0.4557,0.66,-0.2628,-0.2489
1025,XMRBTC,0,0,0.83333333333333,0.1591,1.23,-0.1161,-0.1646
1026,BNTBTC,0,0,0.83333333333333,2.1009,1.73,-0.8125,0.0598
1027,DASHBTC,0,0,0.83333333333333,0.3354,0.16,0.0233,0.0581
1028,OGNBTC,0,0,0.83333333333333,0.9982,1.22,-0.2602,-0.4718
1029,XLMBTC,0,0,0.83333333333333,0.679,0.34,-0.0396,0.0583
1030,ARNBTC,0,0,0.83333333333333,1.2269,-0.95,-2.2649,-2.6394
1031,IOTABTC,1,0,0.83333333333333,0.4266,0.02,-0.8179,-0.6983
1032,MTLBTC,0,0,0.83333333333333,0.3581,-0.12,-0.3245,-0.8563
1033,BQXBTC,1,0,0.83333333333333,1.8296,-1.02,0.0713,-0.3097
1034,THETABTC,0,0,0.83333333333333,0.545,0.10,-0.5384,-0.2336
1035,ELFBTC,0,0,1,2.2011,-1.51,0.3592,0.9386
1036,GVTBTC,0,0,0.83333333333333,1.0249,2.59,-1.2865,-0.7841
1037,PIVXBTC,0,0,1,0.6708,0.67,-0.0225,-0.0224
1038,ZRXBTC,1,0,0.83333333333333,1.6315,-3.52,2.0492,0.5976
1039,NEOBTC,1,0,0.83333333333333,0.8762,-0.20,0.1843,0.6443
1040,MANABTC,0,0,0.83333333333333,0.953,0.72,-0.3409,-0.00039999999999998
1041,AEBTC,0,0,0.83333333333333,1.3772,0.21,0.3456,0.2467
1042,ALGOBTC,1,0,0.83333333333333,0.9691,-0.28,0.2242,0.484
1043,ATOMBTC,1,0,0.83333333333333,0.7879,-2.27,-1.2889,0.3333
1044,BNBBTC,0,0,1,0.204,-0.16,0.1685,0.2087
1045,LINKBTC,0,0,0.83333333333333,0.2006,-0.06,1.088,0.3697
1046,LTCBTC,0,0,0.83333333333333,0.1122,0.00,-0.0469,0.1341
1047,BLZBTC,1,0,1,3.9368,-2.23,-3.8469,0.0348
1048,HCBTC,1,0,0.83333333333333,1.2471,-1.07,0.684,1.1118
1049,MCOBTC,0,0,0.83333333333333,0.3993,0.66,0.0531,0.1715
1050,REPBTC,1,0,0.83333333333333,1.7772,0.11,2.0405,0.2612
1051,LSKBTC,0,0,0.83333333333333,0.3927,0.71,0.6357,0.8343
1052,ZENBTC,1,0,0.83333333333333,0.0338,1.06,-0.1425,0.0661
1053,TOMOBTC,1,0,0.83333333333333,0.7802,1.21,-0.5976,0.2741
1054,SKYBTC,0,0,0.83333333333333,0.2852,1.14,-0.673,0.2503
1055,ADABTC,0,0,0.83333333333333,0.648,-0.96,1.2078,-0.4488
1056,ETCBTC,0,0,0.83333333333333,0.3507,-0.13,0.5117,0.1717
1057,LENDBTC,1,0,0.83333333333333,0.6751,-1.08,1.7384,0.8456
1058,OMGBTC,0,0,0.83333333333333,0.9915,-0.41,1.4476,1.6984
1059,WRXBTC,0,0,0.83333333333333,1.5333,-2.62,-0.64,0.2645
1060,BCHBTC,0,0,0.83333333333333,0.5452,-0.04,0.6832,0.3018
1061,ETHBTC,0,0,0.83333333333333,0.2164,-0.22,0.3371,0.0057
1062,OAXBTC,0,0,0.83333333333333,2.8652,0.40,1.4489,1.9907
1063,VETBTC,1,0,0.83333333333333,5.4378,-0.27,3.052,2.2099
1064,WTCBTC,1,0,0.83333333333333,0.7935,-1.18,2.0067,1.1822
1065,POWRBTC,0,0,0.83333333333333,0.7407,0.16,-0.0755,0.1059
1066,SOLBTC,0,0,0.83333333333333,0.65,0.60,-0.1486,0.4414
1067,ENJBTC,0,0,0.83333333333333,0.7898,1.26,-0.2931,-0.3162
1068,ONGBTC,1,0,0.83333333333333,0.97,0.07,-1.2707,-1.093
1069,BEAMBTC,1,0,0.83333333333333,0.247,1.50,0.0702,0.2124
1070,XZCBTC,0,0,0.83333333333333,0.4349,0.10,0.0466,0.0532
1071,STRATBTC,0,0,0.83333333333333,1.0273,-1.22,0.0281,-0.1045
1072,NULSBTC,1,0,0.83333333333333,1.4977,-2.06,4.2544,1.3805
1073,BANDBTC,1,0,0.83333333333333,0.4438,0.89,-1.3506,0.2534
1074,COMPBTC,0,0,0.83333333333333,1.9383,2.09,-1.1373,2.6217
